bgA;bgB;bgC;bgD;bgE;V1;V2;V3;V4;V5
1;1;4;4;1;6;30;40;51;79
1;1;4;4;1;35;44;26;108;58
1;1;4;4;1;36;35;41;69;86
1;1;4;4;1;36;49;57;79;111
3;1;4;4;1;11;54;52;118;70
1;1;4;4;1;19;30;14;39;75
1;1;4;4;1;32;32;8;46;103
1;1;4;4;2;18;45;6;55;79
1;1;4;4;1;28;33;31;61;82
1;1;4;4;1;22;20;44;56;79
1;1;4;4;1;22;38;13;75;87
1;1;4;4;1;29;31;6;48;70
1;1;4;4;2;30;25;13;47;63
1;1;4;4;1;36;38;4;58;45
1;1;4;4;1;30;43;50;31;54
1;1;4;4;2;11;41;22;30;104
2;2;4;4;2;13;32;0;69;106
1;1;4;4;1;31;2;30;44;68
1;1;4;4;2;14;32;6;71;102
1;1;4;4;2;19;31;29;69;48
1;1;4;4;1;9;34;15;33;73
1;2;4;4;1;22;30;32;41;60
1;2;4;4;2;22;44;35;57;53
1;1;4;4;1;20;28;18;66;59
1;1;4;4;1;26;40;14;52;73
3;1;4;4;2;2;29;28;74;67
1;1;4;4;2;3;5;31;85;77
1;1;4;4;2;4;49;2;2;44
1;2;4;4;2;14;39;28;58;71
3;3;4;4;2;16;34;33;83;92
3;1;4;4;3;15;51;16;82;110
4;4;4;4;3;38;33;29;61;92
1;2;4;4;3;15;27;29;39;51
4;4;4;4;3;15;35;37;58;107
3;3;4;4;2;33;35;37;66;102
1;1;4;4;2;7;23;21;64;58
1;1;4;4;2;34;2;15;35;82
4;3;4;4;2;12;27;22;67;65
4;3;4;4;2;3;39;16;41;110
1;3;1;4;1;22;26;1;79;100
4;2;4;4;2;28;32;12;101;82
4;2;4;4;2;29;25;36;96;87
2;2;4;4;2;24;35;41;50;88
1;2;4;4;2;32;41;34;82;56
4;4;4;4;3;31;47;9;48;60
2;2;4;4;1;13;55;17;67;74
4;3;4;4;3;14;55;40;73;66
1;2;4;4;2;31;33;32;41;44
3;2;1;4;1;6;18;3;60;37
1;1;4;1;2;34;31;5;55;34
4;4;4;4;3;19;34;7;77;61
1;2;4;4;3;28;18;21;71;27
4;4;4;4;2;27;44;25;77;59
2;1;4;4;2;13;15;20;64;72
4;4;4;4;3;65;38;45;90;44
1;2;4;4;2;26;15;28;40;71
4;4;4;4;3;27;13;35;97;52
3;4;4;4;2;38;5;11;84;37
2;4;4;4;3;27;39;11;55;65
1;1;4;4;2;15;60;17;32;90
4;2;4;4;3;42;1;10;76;96
4;3;4;4;2;38;24;32;49;38
1;3;1;1;2;10;36;16;44;50
4;2;4;4;2;9;45;14;30;71
1;4;4;4;2;20;14;11;40;50
4;2;4;4;2;28;51;17;61;46
1;2;4;4;3;15;17;13;46;78
4;3;4;4;2;37;24;6;83;55
1;2;4;4;1;26;25;28;67;69
2;4;4;4;3;19;8;8;87;51
1;2;4;4;2;30;12;15;41;62
1;1;4;4;1;28;26;2;36;67
4;4;4;4;2;44;35;9;71;84
3;3;4;4;2;14;13;20;89;70
4;4;4;4;2;38;36;26;42;76
1;1;4;4;2;13;12;39;55;48
4;3;4;4;2;37;44;4;59;81
4;4;4;4;3;32;26;14;53;80
1;4;4;4;3;14;47;37;56;71
